id,subject,message
5302,שאלה בנוגע לשתי נוסחאות בדף הטריגונומטריה,"<p dir=""rtl"" style=""text-align:right;"">שלום,</p><p dir=""rtl"" style=""text-align:right;"">רציתי לשאול בנוגע לנוסחאות 27 ו- 28 מדפי הטריגונומטריה:</p><p dir=""rtl"" style=""text-align:right;"">ה <strong>j</strong> שנמצא בתחתית הסיגמה לא אמור להיות בתוך ביטוי הארגומנט של סינוס/קוסינוס, או במקום כלשהו אחר בנוסחה? </p><p dir=""rtl"" style=""text-align:right;"">כי באופן כללי, אין כלל <strong>j</strong> בנוסחאות, ואני הבנתי לגבי סיגמות שהאות התחתונה (J) היא האינדקס שמשתנה (ושאותו מציבים כל פעם במקום הרלוונטי) עד שמגיעים לאיבר n.</p><p dir=""rtl"" style=""text-align:right;""><span style=""font-size:0.9375rem;"">תודה!</span><br /></p><p dir=""rtl"" style=""text-align:right;""><br /></p><p dir=""rtl"" style=""text-align:right;""><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/5302/image%20%281%29.png"" alt="""" class=""img-fluid"" /><br /></p>"
5545,תשובה ל: שאלה בנוגע לשתי נוסחאות בדף הטריגונומטריה,"<div class=""text_to_html"">שי שלום,<br />
אכן יש טעות בקובץ, עדכנתי אותו.<br />
תודה רבה:)<br />
עדי</div>"
5557,טעות ברשימות בשיעור 2?,"<p dir=""rtl"" style=""text-align:right;"">שלום.</p><p dir=""rtl"" style=""text-align:right;"">ברשימות של שיעור 2 ב2.5 חסמים הדוגמא השנייה, לוקחים את המספר 3 כדי להראות שהוא חסם מלעיל</p><p dir=""rtl"" style=""text-align:right;"">בשלב מסויים מציבים אותו במקום A^2 אבל שם הוא הופך לשבר 9/2, לא הבנתי מאיפה החלקי 2 הזה הגיע כי ה2 המצד השני הפכו אותו ל8/4, אז אולי הכוונתה הייתה 36/4?</p><p dir=""rtl"" style=""text-align:right;"">אשמח להסבר אם זאת טעות בהקלדה ואם לא אז מאיפה השבר 3/2 הגיע.</p><p dir=""rtl"" style=""text-align:right;"">תודה.</p>"
5620,תשובה ל: טעות ברשימות בשיעור 2?,"<div class=""text_to_html"">ידוע ש-a^2&lt;2 ו-((שלוש חלקי 2) בריבוע)=9/4 (ע""פ חוקי חזקות)<br />
9/4 &gt; 2 (כי 2=8/4)<br />
לכן גם a^2&lt;((3/2)^2)</div>"
5748,תשובה ל: טעות ברשימות בשיעור 2?,"<div class=""text_to_html"">אבל מאיפה הביאו את 3/2? סתם לקחו דוגמה? כי לפני רגע הם השתמשו ב3 שלם ועכשיו השתמשו ב3/2 ולא הבנתי אם זה היה בכוונה או לא</div>"
9148,תשובה ל: טעות ברשימות בשיעור 2?,"<div class=""text_to_html"">נכון,<br />
זו סתם דוגמא למשהו שגדול מ-2=8/4<br />
9/4 גדול מזה וזה בעצם (3/2) בריבוע, משמע שa&lt;3/2, כלומר הוא בוודאות קטן מ-3, <br />
לכן 3 הוא חסם מלעיל</div>"
5573,הוכחת למה זהות פסקל,"<p dir=""rtl"" style=""text-align:right;"">היי,</p><p dir=""rtl"" style=""text-align:right;"">האם מישהו יכול לשלוח את ההוכה של הלמה , מנסה באמצעות אינדוקציה ולא מצליח..<img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/5573/Screenshot%202022-10-28%20164123.png"" alt=""למה זהות פסקל לבינום ניוטון"" width=""1061"" height=""210"" class=""img-fluid atto_image_button_text-bottom"" style=""font-size:0.9375rem;"" /></p>"
5612,תשובה ל: הוכחת למה זהות פסקל,"<div class=""text_to_html"">היי,<br />
אשמח אם תוודא אותי על הדרך :)</div>"
7241,תשובה ל: הוכחת למה זהות פסקל,"<div class=""text_to_html"">אני ממליץ לנסות לרשום את אגף שמאל ולהיעזר בהגדרה של מקדם הבינום.<br />
לאחר שימוש בהגדרת העצרת ובמכנה משותף - ניתן להגיע לתוצאה הרצויה.<br />
אין בהכרח צורך להשתמש באינדוקציה.<br />
<br />
עדי</div>"
6424,הקלטה - שיעור השלמה ,"<p dir=""rtl"" style=""text-align:right;"">היי,</p><p dir=""rtl"" style=""text-align:right;"">האם השיעור השלמה יהיה זמין לצפייה גם ביום שלישי הקרוב? </p><p dir=""rtl"" style=""text-align:right;"">תודה,<br />מאי</p>"
7242,תשובה ל: הקלטה - שיעור השלמה ,"<div class=""text_to_html"">מאי שלום,<br />
השיעור ישאר זמין לפחות עד יום שלישי הקרוב.<br />
בברכה,<br />
עדי</div>"
7714,שעות קבלה,"<p dir=""ltr"" style=""text-align:left;"">?היי, יש מועד ושעה לשעות הקבלה</p>"
8130,תשובה ל: שעות קבלה,"<div class=""text_to_html"">היי מיכאל, <br />
<br />
לכל מרצה ומתרגל יש את שעת הקבלה שלו, מוזמן לפנות למתרגל/ת שלך במייל כדי לקבל את השעה והמקום המתאימים לקבוצה שלך.<br />
<br />
גיל בר</div>"
9159,אקסיומת השלמות עבור קבוצה חסומה מלרע,"<p dir=""rtl"" style=""text-align:right;"">היי,</p><p dir=""rtl"" style=""text-align:right;"">אני מצרף ניסיון שלי להוכחה של ""גרירת"" אקסיומת השלמות גם עבור קבוצות חסומות מלרע.</p><p dir=""rtl"" style=""text-align:right;"">אשמח להערות,</p><p dir=""rtl"" style=""text-align:right;"">איליה</p><p dir=""rtl"" style=""text-align:right;""><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/9159/image.png"" alt="""" class=""img-fluid"" /><br /></p>"
9167,תשובה ל: אקסיומת השלמות עבור קבוצה חסומה מלרע,"<div class=""text_to_html"">מינוס אלפא חסם מלרע של A ***</div>"
10365,תשובה ל: אקסיומת השלמות עבור קבוצה חסומה מלרע,"<div class=""text_to_html"">איליה שלום,<br />
ראשית, תודה רבה על שאתה מעלה לפורום את שאלותייך, זה תורם מאוד לכלל התלמידים.<br />
שנית, מקריאת ההוכחה שכתבת ניתן להתרשם שאתה מבין את הרעיון הכללי של ההוכחה, שזה נהדר.<br />
עם זאת, יש לחזק את היכולת להשתמש בצורה נכונה בכמתים, דבר שהוא שכיח מאוד בתחילת הקורס שלנו.<br />
בכדי לעזור, העליתי למודל קובץ עם ההוכחה של הטענה הזו, והכנסתי הסברים על האופן שבו כתבתי את ההוכחה.<br />
אני מקווה שהמסמך שכתבתי יהיה שימושי עבורך ועבור יתר התלמידים.<br />
בברכה,<br />
עדי</div>"
10579,תשובה ל: אקסיומת השלמות עבור קבוצה חסומה מלרע,"<div class=""text_to_html"">היי עדי,<br />
<br />
תודה רבה על ההבהרות!<br />
<br />
איליה</div>"
9164,"הוכחת תרגיל בית ע""מ 24 ברשימות קורס","<p dir=""rtl"" style=""text-align:right;"">היי,</p><p dir=""rtl"" style=""text-align:right;"">ניסיתי להוכיח את התרגיל הבא:<br /><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/9164/image%20%281%29.png"" alt="""" class=""img-fluid"" style=""font-size:0.9375rem;"" /></p><p dir=""rtl"" style=""text-align:right;"">אשמח אם מישהו/י יתנו לי חוות דעת,</p><p dir=""rtl"" style=""text-align:right;""><br /></p><p dir=""rtl"" style=""text-align:right;"">איליה</p><p dir=""rtl"" style=""text-align:right;""><br /></p><p dir=""rtl"" style=""text-align:right;"">ההוכחה:</p><p dir=""rtl"" style=""text-align:right;""><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/9164/image.png"" alt="""" class=""img-fluid"" /><br /></p>"
9279,"תשובה ל: הוכחת תרגיל בית ע""מ 24 ברשימות קורס","<div class=""text_to_html"">היי איליה,<br />
<br />
חסרים מעברים לא טריוויאלים באי-השוויון הראשון שיש להסביר ולפרט. <br />
כמו כן, שים לב ש-n השני שסימנת אינו בהכרח מספר טבעי.</div>"
9801,"תשובה ל: הוכחת תרגיל בית ע""מ 24 ברשימות קורס","<div class=""text_to_html"">תודה רבה גיל 😀</div>"
10434,הוכחת דוגמא חסם מלרע ברשימות הרצאה 2,<p>שלום&nbsp;</p><p>אשמח להסבר על ההוכחה בדוגמא המצורפת בעיקר על עניין בחירת&nbsp;</p><p>a</p><p>בתור מינימום של שני המספרים המיוחסים והלאה&nbsp;</p><p>(כאילו מאיפה המחשבה ולמה מקדם את ההוכחה)</p><p>תודה</p><p><br></p>
10880,תשובה ל: הוכחת דוגמא חסם מלרע ברשימות הרצאה 2,"<div class=""text_to_html"">עידן שלום,<br />
תוכל בבקשה לנסח במדויק את השאלה שלך בכדי שאוכל לתת תשובה ממוקדת?<br />
בברכה,<br />
עדי</div>"
10454,הוכחת קבוצת הטבעיים כאינסופית - נספח רשימות 2,<p>אשמח להסבר על ההוכחה המצורפת&nbsp;</p>
10881,תשובה ל: הוכחת קבוצת הטבעיים כאינסופית - נספח רשימות 2,"<div class=""text_to_html"">עידן שלום,<br />
תוכל בבקשה לנסח במדויק את השאלה שלך בכדי שאוכל לתת תשובה ממוקדת?<br />
בברכה,<br />
עדי</div>"
10539,תרגיל 6א מטלת בית 2,<p>האם x שייך לטבעיים או לממשיים?</p>
10883,תשובה ל: תרגיל 6א מטלת בית 2,"<div class=""text_to_html"">יונתן שלום,<br />
x יכול להיות כל מספר ממשי חיובי.<br />
בברכה,<br />
עדי</div>"
10878,הגדרת אפסילון ( הוכחת חסמים של קבוצות),"שבוע טוב!<br /><div>במהלך עבודה על תרגיל 2 נתקלתי בשאלות / תהיות בנושא הגדרה של אפסילון והוכחת חסם עליון / תחתון, ואשמח אם תוכלו לעזור לי. (העליתי את הנושא גם עם מספר חברים ולא הגענו למסקנה חותכת כלשהי)</div><div><br /></div><div><div>1) האם זה בסדר להגדיר אפסילון שווה ביטוי כלשהו או שנוצרת כאן הגבלת כלליות? </div><div>במידה ואי אפשר להגדיר אפסילון, האם השיטה היא להגדיר את הנעלם (איבר בקבוצה) באמצעות אפסילון?</div><div><br /></div><div>2) במידה וניתן להגדיר אפסילון כללי, האם צריך להפריד לתחומים עבור אפסילון בין אפס לאחד וגדול מאחד או שניתן להוכיח רק על אפסילון מאוד קטן ומשם להשליך כי אם זה נכון עבור אפסילון ״שואף״ ל0 זה בוודאי יהיה נכון עבור ערכים גדולים יותר שלו.</div></div><div>באותו הקשר, האם זה בסדר להגדיר אפיסלון שמייצג לדוג׳ בהכרח רק ערכים רציונליים, והאם זה לא מתנגש עם חובת ההוכחה ל<b>כל</b> אפסילון שגדול מ0. (או שבדומה לתחילת שאלה 2, אם מוכיחים כי תמיד יהיה מספר קטן יותר לדוג׳ אחד חלקי n טבעי, ההוכחה תקפה כי הוכחנו עבור מספר שתמיד יכול להיות קטן)</div><div><br /></div><div>מצרף צילום מסך מתוך הפתרון שלי לאחת השאלות בתרגיל הבית לשם המחשה של הסוגייה.</div><div></div><div><br /></div><div><br /></div><div>תודה רבה ושבוע טוב!</div><div><br /></div><div>שילה.</div><br />"
10893,תשובה ל: הגדרת אפסילון ( הוכחת חסמים של קבוצות),"<div class=""text_to_html"">שילה שלום,<br />
התשובה לשאלות שלך היא תלויית הקשר.<br />
קשר אנחנו רוצים *להוכיח* שעצם מסויים מקיים טענה מסויימת ובטענה המשתנה אפסילון מופיע עם הכמת *לכל*  (למשל, שמספר מסויים הוא חסם עליון של קבוצה מסויימת), אז בהוכחה צריכה להופיעה האמירה ""יהי אפסילון"", ואז לא ניתן להניח על אפסילון דבר, פרט למה שהטענה דורשת (למשל, אפסילון חיובי).<br />
ניתן לראות דוגמה לכך בדוגמה הראשונה שמופיעה אחרי הערה 2.20 ברשימות.<br />
<br />
מנגד, כאשר אנחנו רוצים להשתמש בעובדה שעצם מסויים מקיים טענה מסויימת  ובטענה המשתנה אפסילון מופיע עם הכמת *לכל* (למשל סדרה שמתכנסת למספר סופי), אז נוכל לבחור את אפסילון כרצוננו ובתנאי שהוא מקיים את דרישות הטענה.<br />
ניתן לראות דוגמה לכך בהוכחת טענה 3.11 ברשימות.<br />
<br />
אני מקווה שההסבר מובן<br />
אשמח לענות על שאלות נוספות,<br />
בברכה,<br />
עדי</div>"
10898,תשובה ל: הגדרת אפסילון ( הוכחת חסמים של קבוצות),"<div class=""text_to_html"">תודה רבה על המענה המהיר!<br />
<br />
ובצילום המסך שצירפתי, האם זהו מהלך תקין?<br />
כלומר, לא הנחתי דבר על אפסילון, אך כן הוכחנו בשיעור שלכל אפסילון מתקיימת הטענה כי קיים 1 חלקי n שקטן ממנו. ובעזרת הטענה הזו הוכחתי דבר מסוים</div>"
10949,תשובה ל: הגדרת אפסילון ( הוכחת חסמים של קבוצות),"<div class=""text_to_html"">מהצילום לא ברור מה הטענה שמנסים להוכיח לכן לא ניתן לענות על השאלה.<br />
אשמח לניסוח המלא של השאלה ולנסיון הפתרון המלא בכדי שאוכל להתייחס.<br />
<br />
עדי</div>"
11024,תשובה ל: הגדרת אפסילון ( הוכחת חסמים של קבוצות),נוסח השאלה המלא :<br />
12148,תשובה ל: הגדרת אפסילון ( הוכחת חסמים של קבוצות),"<div class=""text_to_html"">בתרגיל הזה מתבקשים למצוא (בין היתר) חסם עליון עבור הקבוצה C.<br />
בכדי *להוכיח* כי 1 הוא חסם עליון של C, צריך להשתמש בהגדרת חסם עילון ולהוכיח כי 1 מקיים אותה עבור הקבוצה C.<br />
בהגדרה מופיע המשתנה אפסילון עם הכמת *לכל*, על כן לא ניתן להניח על אפסילון הנחות כלל, פרט להיותו מספר ממשי חיובי.<br />
<br />
מקווה שזה מובן יותר כעת:)<br />
עדי</div>"
11118,ריכוז הגדרות טענות ומשפטים מהשיעור,"<p>היי</p><p>ריכזתי לקובץ אחד את רוב ההגדרות, משפטים וטענות שלמדנו עד כה בהרצאות ובתרגולים.</p><p>מקווה שהכל באמת נמצא, זה מעודכן עד לחומר הנלמד בסוף השבוע השני לסמסטר,כולל.</p><p>מוזמנים להיעזר 😊</p>"
13525,שאלה 5ב מטלת בית2,"<p>היי,</p><p>אשמח לעזרה בהוכחת סעיף ב שאלה 5 עקרון הסדר הטוב הכללי&nbsp;</p><p>מצטרף ההוכחה שהצלחתי להגיע אליה עד כה.</p><p><br></p><p><br></p>"
14521,אינדוקציה בשאלה 5- תרגיל בית 2,"שלום,<br />מצרף שגיאה שהייתה לי בביצוע שאלה 5 בשיעורי בית בתקווה להבין מה הייתה התקלה.<br />ניסיתי לפתור את השאלה באינדוקציה על מספר האיברים בקבוצה.<br /><strong>בסיס- </strong>הנחתי שבקבוצה בעל איבר אחד יש איבר מינימלי<br /><strong>צעד- </strong>הנחתי שבקבוצה עם n איברים יש מספר מינימלי ואז נוכיח כי עם יש n+1 איברים גם יש. האיבר הנוסף הוא הוא המינימלי החדש או שזה שהיה מינימלי לפניי כן הוא המינימלי. בכל אופן מתקיים מינימלי. כביכול הוכחתי את הטענה.<br />אח""כ ביצעתי את אותו דבר מחשבתית על איבר מקסימלי בקבוצת הטבעיים. <strong>כביכול</strong> הוכחתי שיש אביר מקסימלי (דבר שאנו יודעים שאינו נכון).<br />אשמח לחידוד מה השגיאה (לא ראיתי באינדוקציה הגבלות מלבד שהיא צריכה להתבסס על מספרים טבעיים.<br />מצרף את הטיוטה.<br />תודה גדולה,<br />נרי<br />"
14634,תשובה ל: אינדוקציה בשאלה 5- תרגיל בית 2,"<div class=""text_to_html"">היי נרי, <br />
<br />
לא קראתי עד סוף ההוכחה אבל חשוב לציין שישנן תתי-קבוצות של הטבעיים שהן אינסופיות, ובפרט אין שום מספר טבעי שיכול לתאר את ""מספר איברי הקבוצה"". על כן, גם אם האינדוקציה נכונה, זה עדיין לא מספיק על מנת להוכיח את עקרון הסדר הטוב. <br />
<br />
הגיוני שעל קבוצות סופיות הצלחת להוכיח שיש איבר מקסימלי - לכל קבוצה סופית של מספרים טבעיים יש איבר מקסימלי. זו אכן טענה נכונה. קבוצות הטבעים שלהן אין איבר מקסימלי הן האינסופיות, אשר כאמור מתפספסות כאשר האינדוקציה היא על מספר איברי הקבותה. <br />
<br />
גיל בר</div>"
15110,תשובה ל: אינדוקציה בשאלה 5- תרגיל בית 2,"<p dir=""rtl"" style=""text-align:right;""><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/15110/image.png"" alt="""" class=""img-fluid"" /><br /></p>"
15112,תשובה ל: אינדוקציה בשאלה 5- תרגיל בית 2,"<div class=""text_to_html"">תודה על המענה המהיר,<br />
שלחי שוב רק שהפעם נעזרתי בהצעה כדי לתחום את גודל האיברים בתוך הקבוצה וכך להימנע מהאינסופיות שפגעה בכבילות האינדוקציה בפתרון הקודם. האם זאת כוונת המשורר?<br />
תודה גדולה,<br />
נרי</div>"
14526,הגבלות על שימוש בכלל ארכימדס,"<p dir=""rtl"" style=""text-align:right;"">שלום,</p><p dir=""rtl"" style=""text-align:right;"">איזה הגבלות קיימות על שימוש בכלל ארכימדס?</p><p dir=""rtl"" style=""text-align:right;"">הוא מנוסח ככה:</p><p dir=""rtl"" style=""text-align:right;""><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/14526/image.png"" alt="""" class=""img-fluid"" /><br /></p><p dir=""rtl"" style=""text-align:right;""><span>אך למיטב הבנתי חייבת להיות איזהשהי הגבלה על היחס בין </span><strong>X n Y .</strong></p><p dir=""rtl"" style=""text-align:right;""><span>בתנאים שרשומים כאן אפשר לטעון  כביכול ש קיימים  משתנים שמקיימים לדוגמה </span><strong>: n*0.5&gt;n</strong></p><p dir=""rtl"" style=""text-align:right;""><strong>תודה רבה,</strong></p><p dir=""rtl"" style=""text-align:right;""><strong>נרי</strong></p>"
14637,תשובה ל: הגבלות על שימוש בכלל ארכימדס,"<div class=""text_to_html"">היי נרי, <br />
<br />
למה אפשר לטעון זאת מתכונת ארכימדס? <br />
מי הם x,y בדוגמה שהצגת?</div>"
15002,תשובה ל: הגבלות על שימוש בכלל ארכימדס,"<p dir=""rtl"" style=""text-align:right;""><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/15002/image.png"" alt="""" class=""img-fluid"" /><br /></p>"
15005,תשובה ל: הגבלות על שימוש בכלל ארכימדס,"<div class=""text_to_html"">צירפתי את התרגיל שרציתי להעזר בתכונה כדי להוכיח SUP. מכיוון שיש לי הגבלה אחת על( n(  n&gt;m.  אז בעזרתם אני יכול לבחור כל y . במקרה הזה אני לא רואה בעיה להשתמש בתכונה כדי להוכיח. מנגד קיימת עדיין בעיה של להביא את Y באמצעות n (שבתלות מסוימת פוגעת בקיום התכונה כפי שהצגתי קודם לדוגמה) . שאלתי האם יש הגבלה כלשהי בהוכחה כזאת במקרה כאן?<br />
תודה,<br />
נרי</div>"
15076,תשובה ל: הגבלות על שימוש בכלל ארכימדס,"<div class=""text_to_html"">היי נרי. מה שכתבת בפתרון שלך זה לא מה שתכונת ארכימדס אומרת. <br />
<br />
מה שהיא אומרת זה שלכל שני מספרים ממשיים x,y, אם x הוא מספר חיובי, אז קיים מספר טבעי שמתאים להם ספציפית n, עבורו n*x&gt;y. <br />
אני אוהבת לחשוב על זה באופן הבא: קיים מספר סופי של פעמים שאני יכולה לחבר את הערך x לעצמו עד שאני אעקוף את הערך המספרי y. <br />
שים לב ש-n הזה הוא לא כל מספר טבעי שהוא. יש לנו כמת *קיים* לפניו, והוא מותאם לכל שני ערכי x,y בנפרד.<br />
<br />
(למשל, x=1,y=2 אז מתאים להם בין היתר הערך n=3. בכיוון ההפוך, x=2,y=1, מתאים להם בין היתר הערך n=1 שלא מתאים לזוג המספרים הקודם)<br />
<br />
האם זה יותר ברור?</div>"
15141,תשובה ל: הגבלות על שימוש בכלל ארכימדס,"<div class=""text_to_html"">היי,<br />
מבין את מה שאת אומרת אני פשוט טוען שמכיוון שקיים כמת קיים גם על M וN אז אני יכול לייצר כל Y כך שיתאים לי. באופן הבא אני עונה על הקריטריונים של לכל XY  ממשיים קיים N כך ש מתקיים תכונת ארכימדס.<br />
לא כך?<br />
נרי</div>"
15815,תשובה ל: הגבלות על שימוש בכלל ארכימדס,"<div class=""text_to_html"">נרי שלום,<br />
ממליץ לרשום במפורש את ההחלק שבו יש שימוש בתכונת ארכימדס, ולוודא שהשימוש אכן תואם לניסוח המקורי שהיצגנו.</div>"
15523,אריתמטיקה של גבולות אינסופיים,"<p dir=""rtl"" style=""text-align:right;"">בנספח של שיעור 5 רשום בסעיף 3.1 על הגבול של an חלקי an וב3.2 רשום על הגבול של bn חלקי bn.<br /> האם זה טעות? לא ברור מה הקשר בין bn לגבול של an חלקי an</p><p dir=""rtl"" style=""text-align:right;""><br /></p>"
15819,תשובה ל: אריתמטיקה של גבולות אינסופיים,"<div class=""text_to_html"">יונתן שלום,<br />
אכן יש שם טעות, עדכנתי את הרשימות ותיקנתי את הטעות.<br />
תודה רבה לך<br />
עדי</div>"
15656, אך נבחר ה-x שמתבוננים בו,"שאלה קצת כללית אבל,למשל בשאלה 4 במטלה 2 האם מקובל להתבונן ב a שמופיע בתמונה? או שהוא צריך להיות מהצורה שורש n פחות הערך השלם התחתון של שורש n (בלי הוספת והחסרת משהו, כלומר ה איפסלון צריך להיות בתוך השורש) ?<img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/15656/20221111_170431.jpg"" alt="".."" width=""498"" height=""123"" class=""img-fluid atto_image_button_text-bottom"" />"
15821,תשובה ל:  אך נבחר ה-x שמתבוננים בו,"<div class=""text_to_html"">כאשר רוצים להוכיח כי 1 הוא חסם עליון של הקבוצה יש להוכיח ש-1 מקיים את שני התנאים הדרושים.<br />
בהוכחה פה יש ניסיון להוכיח את אחד התנאים : לכל epsilon&gt;0 קיים a ששיך ל-A כך ש-a&gt;1-epsilon.<br />
<br />
כאשר מתבוננים באיבר מסויים, צריך להוכיח שהוא אכן שייך לקבוצה A.<br />
אני חושש שהאיבר a שרשמת אינו שייך לקבוצה A ולכן הוא לא יעזור בהוכחת הטענה.</div>"
15968,שיעורי בית 3 שאלה 4,<p>הכוונה שהקבוצה c מכילה את איברי a האי זוגיים ואיברי b הזוגיים? לא כל כך הבנתי את הסימון שCn= ak כש-n הוא בכלל זה שמוגדרת עליו אי זוגיות</p>
17103,תשובה ל: שיעורי בית 3 שאלה 4,"<div class=""text_to_html"">ניר שלום,<br />
האם הכוונה לשאלה 3ב' מתרגיל בית 3?<br />
אם כן, מוגדרת שם סדרה {c_n} באופן הבא: לכל n טבעי חיובי, אם n זוגי, אז קיים k טבעי כך ש-n=2k ואז מגדירים c_n=b_k. אם n אי-זוגי, אז קיים k טבעי כך ש-n=2k-1 ואז מגדירים c_n=a_k.<br />
מקווה שזה מובן יותר כעת,<br />
עדי</div>"
16805,בקשה לפתרון עבודת תחילת הקורס,"שלום, <br />האם אפשר לפרסם את הפתרון של עבודת תחילת הקורס?<br /><br />תודה רבה!<br />"
17108,תשובה ל: בקשה לפתרון עבודת תחילת הקורס,"<div class=""text_to_html"">יותם שלום,<br />
בהמשך יתפרסמו פתרונות לתרגילים נבחרים מעבודת תחילת הקורס.<br />
בברכה<br />
עדי</div>"
16822,אריתמטיקה של גבולות,<p>אם מתקיים גבול של a כפול גבול של a ניתן לכתוב כי זה (גבול של a) בריבוע?&nbsp;</p>
17110,תשובה ל: אריתמטיקה של גבולות,"<div class=""text_to_html"">טל שלום,<br />
אני לא בטוח שהצלחתי להבין את השאלה במדויק.<br />
יש אפשרות לרשום באופן פורמלי את השאלה?<br />
בברכה,<br />
עדי</div>"
17118,תשובה ל: אריתמטיקה של גבולות,"<p>לפי אריתמטיקה של גבולות מתקיים:</p><p>גבול (an כפול bn) שווה לגבול an כפול גבול bn</p><p>כאשר יש לי גבול (an כפול an) , האם אפשר לכתוב שזה שווה לגבול2^(an)?&nbsp;</p><p>כלומר ל(גבול an) בריבוע?</p><p>מקווה שעכשיו ברור יותר, תודה!</p>"
22288,תשובה ל: אריתמטיקה של גבולות,"<div class=""text_to_html"">טל שלום,<br />
בהנחה שהגבול קיים בהחלט ניתן לעשות זאת.<br />
בברכה,<br />
עדי</div>"
18334,שאלה 4 תרגיל 2 מציאת אפסילון,"<p>שלום,</p><p>הסתבכתי במציאת חסם עליון בחלק של מציאת ביטוי שעבור התקיים אפסילון גדול מ-0</p><p>הסתכלתי על הפתרונות וגם אותם לא הבנתי איך מצאו את הביטוי</p>"
18557,תשובה ל: שאלה 4 תרגיל 2 מציאת אפסילון,"<div class=""text_to_html"">דניאל שלום,<br />
תוכל בבקשה להסביר איזו טענה בדיוק לא הבנת בפתרון של שאלה 4?</div>"
18711,תשובה ל: שאלה 4 תרגיל 2 מציאת אפסילון,אני לא מבין את המעבר פה איך הוא קורה
19277,תשובה ל: שאלה 4 תרגיל 2 מציאת אפסילון,"<div class=""text_to_html"">מתקיים<br />
n^2=&lt;(n+1)^2-1&lt;(n+1)^2<br />
לכן<br />
n&lt;=((n+1^2-1)^0.5
על כן מיחידות הערך השלם נסיק כי n=((n+1^2-1)^0.5.</div>"
